"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.676626800E-2,-7.657032460E-2,-2.153540403E-2,9.848857880E0,9.849179068E0
1.915022700E-2,-9.332008660E-2,-5.742774159E-2,9.856036186E0,9.856645265E0
2.153647700E-2,-9.571290761E-2,-4.067798331E-2,9.872786522E0,9.873334258E0
2.392272700E-2,-9.332008660E-2,-1.674975827E-2,9.899106979E0,9.899561010E0
2.630902900E-2,-8.853443712E-2,-4.546362907E-2,9.870393753E0,9.870895508E0
2.869527900E-2,-8.374879509E-2,-5.264209956E-2,9.877572060E0,9.878067364E0
3.108158100E-2,-9.810572863E-2,-3.589234129E-2,9.870393753E0,9.870946552E0
3.346783100E-2,-9.571290761E-2,-2.153540403E-2,9.870393753E0,9.870881297E0
3.585408100E-2,-9.092725813E-2,-4.307080805E-2,9.853643417E0,9.854157065E0
3.824038300E-2,-7.417750359E-2,-4.546362907E-2,9.872786522E0,9.873169853E0
4.062663300E-2,-8.853443712E-2,-3.349951655E-2,9.884750366E0,9.885203608E0
4.301288300E-2,-9.810572863E-2,-4.546362907E-2,9.863214493E0,9.863807166E0
4.539918500E-2,-8.135596663E-2,-5.742774159E-2,9.848857880E0,9.849361313E0
4.778543500E-2,-9.092725813E-2,-5.024927482E-2,9.863214493E0,9.863761599E0
5.017168500E-2,-8.135596663E-2,-3.828516230E-2,9.858428955E0,9.858838979E0
5.255798700E-2,-9.332008660E-2,-4.067798331E-2,9.863214493E0,9.863739832E0
5.494423700E-2,-8.374879509E-2,-4.307080805E-2,9.870393753E0,9.870843013E0
5.733053900E-2,-1.028913707E-1,-3.349951655E-2,9.877572060E0,9.878164741E0
5.971678900E-2,-1.124626622E-1,-4.307080805E-2,9.879964828E0,9.880698759E0
6.210303900E-2,-8.135596663E-2,-3.828516230E-2,9.860821724E0,9.861231648E0
6.448934100E-2,-8.374879509E-2,-4.546362907E-2,9.860821724E0,9.861282162E0
6.687559100E-2,-8.374879509E-2,-3.589234129E-2,9.860821724E0,9.861242680E0
6.926184100E-2,-9.810572863E-2,-4.307080805E-2,9.875179291E0,9.875760520E0
7.164814300E-2,-8.853443712E-2,-3.828516230E-2,9.879964828E0,9.880435674E0
7.403439300E-2,-1.052841991E-1,-5.264209956E-2,9.882357597E0,9.883058617E0
7.642064300E-2,-8.374879509E-2,-3.349951655E-2,9.860821724E0,9.861234261E0
7.880694500E-2,-8.614161611E-2,-4.785645381E-2,9.858428955E0,9.858921446E0
8.119319500E-2,-8.374879509E-2,-4.546362907E-2,9.848857880E0,9.849318877E0
8.357944500E-2,-9.810572863E-2,-4.307080805E-2,9.865608215E0,9.866190009E0
8.596574700E-2,-1.076770201E-1,-4.546362907E-2,9.863214493E0,9.863907006E0
8.835199700E-2,-9.571290761E-2,-4.307080805E-2,9.868000984E0,9.868559139E0
9.073829900E-2,-9.092725813E-2,-3.828516230E-2,9.875179291E0,9.875672106E0
9.312454900E-2,-7.896314561E-2,-5.024927482E-2,9.856036186E0,9.856480582E0
9.551079900E-2,-9.571290761E-2,-5.264209956E-2,9.851250648E0,9.851856246E0
9.789710200E-2,-9.571290761E-2,-4.067798331E-2,9.863214493E0,9.863762760E0
1.002833520E-1,-9.092725813E-2,-3.349951655E-2,9.868000984E0,9.868476752E0
1.026696020E-1,-9.571290761E-2,-2.632104978E-2,9.870393753E0,9.870892898E0
1.050559040E-1,-8.135596663E-2,-4.307080805E-2,9.868000984E0,9.868430337E0
1.074421540E-1,-8.374879509E-2,-4.546362907E-2,9.868000984E0,9.868461087E0
1.098284040E-1,-9.092725813E-2,-4.067798331E-2,9.856036186E0,9.856539543E0
1.122146540E-1,-9.810572863E-2,-3.589234129E-2,9.860821724E0,9.861375060E0
1.146009560E-1,-1.076770201E-1,-4.067798331E-2,9.875179291E0,9.875850093E0
1.169872060E-1,-9.571290761E-2,-5.264209956E-2,9.884750366E0,9.885353911E0
1.193735080E-1,-9.332008660E-2,-4.067798331E-2,9.868000984E0,9.868526068E0
1.217597580E-1,-8.614161611E-2,-2.392822690E-2,9.860821724E0,9.861227003E0
1.241460080E-1,-8.614161611E-2,-2.153540403E-2,9.872786522E0,9.873185801E0
1.265323100E-1,-1.028913707E-1,-4.307080805E-2,9.872786522E0,9.873416604E0
1.289185600E-1,-8.374879509E-2,-4.307080805E-2,9.865608215E0,9.866057694E0
1.313048100E-1,-1.052841991E-1,-5.982056633E-2,9.863214493E0,9.863957796E0
1.336911120E-1,-8.135596663E-2,-3.110669367E-2,9.856036186E0,9.856421040E0
1.360773620E-1,-1.004985496E-1,-2.871387079E-2,9.863214493E0,9.863768275E0
1.384636120E-1,-9.332008660E-2,-3.828516230E-2,9.872786522E0,9.873301783E0
1.408499140E-1,-8.135596663E-2,-5.264209956E-2,9.877572060E0,9.878047367E0
1.432361640E-1,-8.853443712E-2,-5.742774159E-2,9.858428955E0,9.858993750E0
1.456224140E-1,-8.853443712E-2,-4.785645381E-2,9.865608215E0,9.866121530E0
1.480087160E-1,-8.614161611E-2,-4.067798331E-2,9.863214493E0,9.863674529E0
1.503949660E-1,-8.853443712E-2,-3.828516230E-2,9.860821724E0,9.861293484E0
1.527812160E-1,-8.853443712E-2,-4.785645381E-2,9.865608215E0,9.866121530E0
1.551675180E-1,-9.092725813E-2,-4.307080805E-2,9.858428955E0,9.858942353E0
1.575537680E-1,-1.028913707E-1,-4.067798331E-2,9.872786522E0,9.873406456E0
1.599400180E-1,-1.100698411E-1,-4.067798331E-2,9.872786522E0,9.873483872E0
1.623263200E-1,-9.332008660E-2,-3.828516230E-2,9.879964828E0,9.880479715E0
1.647125700E-1,-1.100698411E-1,-4.307080805E-2,9.879964828E0,9.880671813E0
1.670988200E-1,-9.092725813E-2,-3.589234129E-2,9.868000984E0,9.868485165E0
1.694851220E-1,-9.332008660E-2,-3.828516230E-2,9.882357597E0,9.882872359E0
1.718713720E-1,-1.100698411E-1,-5.503492057E-2,9.865608215E0,9.866375711E0
1.742576220E-1,-9.571290761E-2,-4.785645381E-2,9.870393753E0,9.870973814E0
1.766439240E-1,-9.332008660E-2,-5.742774159E-2,9.875179291E0,9.875787189E0
1.790301740E-1,-1.076770201E-1,-4.546362907E-2,9.870393753E0,9.871085762E0
1.814164240E-1,-1.004985496E-1,-4.546362907E-2,9.879964828E0,9.880580545E0
1.838027270E-1,-9.332008660E-2,-3.828516230E-2,9.868000984E0,9.868516495E0
1.861889770E-1,-9.092725813E-2,-4.067798331E-2,9.858428955E0,9.858932190E0
1.885752270E-1,-7.657032460E-2,-3.349951655E-2,9.856036186E0,9.856390543E0
1.909614770E-1,-8.135596663E-2,-4.785645381E-2,9.865608215E0,9.866059725E0
1.933477790E-1,-8.853443712E-2,-6.221338734E-2,9.860821724E0,9.861415412E0
1.957340290E-1,-8.135596663E-2,-4.785645381E-2,9.872786522E0,9.873237703E0
1.981202790E-1,-8.853443712E-2,-2.871387079E-2,9.879964828E0,9.880403223E0
2.005065810E-1,-8.853443712E-2,-4.307080805E-2,9.884750366E0,9.885240677E0
2.028928310E-1,-1.028913707E-1,-2.871387079E-2,9.882357597E0,9.882934929E0
2.052790810E-1,-8.853443712E-2,-4.067798331E-2,9.868000984E0,9.868481974E0
2.076653830E-1,-1.004985496E-1,-4.546362907E-2,9.872786522E0,9.873402686E0
2.100516330E-1,-9.332008660E-2,-3.349951655E-2,9.863214493E0,9.863712840E0
2.124378830E-1,-9.332008660E-2,-3.589234129E-2,9.863214493E0,9.863721257E0
2.148241850E-1,-1.052841991E-1,-3.828516230E-2,9.870393753E0,9.871029498E0
2.172104350E-1,-9.571290761E-2,-3.349951655E-2,9.875179291E0,9.875699935E0
2.195966850E-1,-9.810572863E-2,-2.871387079E-2,9.868000984E0,9.868530420E0
2.219829870E-1,-8.853443712E-2,-3.110669367E-2,9.870393753E0,9.870839823E0
2.243692370E-1,-1.004985496E-1,-3.349951655E-2,9.877572060E0,9.878140107E0
2.267554870E-1,-8.853443712E-2,-3.828516230E-2,9.870393753E0,9.870865055E0
2.291417890E-1,-1.076770201E-1,-3.349951655E-2,9.853643417E0,9.854288668E0
2.315280390E-1,-8.853443712E-2,-5.742774159E-2,9.860821724E0,9.861386381E0
2.339142890E-1,-9.092725813E-2,-5.264209956E-2,9.863214493E0,9.863774079E0
2.363005910E-1,-9.571290761E-2,-3.828516230E-2,9.865608215E0,9.866146774E0
2.386868410E-1,-1.028913707E-1,-4.067798331E-2,9.863214493E0,9.863835028E0
2.410730910E-1,-9.810572863E-2,-4.307080805E-2,9.872786522E0,9.873367892E0
2.434593410E-1,-1.052841991E-1,-4.785645381E-2,9.875179291E0,9.875856471E0
2.458456430E-1,-9.810572863E-2,-3.349951655E-2,9.882357597E0,9.882901327E0
2.482318930E-1,-1.052841991E-1,-3.349951655E-2,9.872786522E0,9.873404716E0
2.506181430E-1,-1.052841991E-1,-4.067798331E-2,9.865608215E0,9.866253844E0
2.530044450E-1,-1.028913707E-1,-4.307080805E-2,9.858428955E0,9.859059955E0
2.553906950E-1,-1.028913707E-1,-5.024927482E-2,9.846465111E0,9.847130892E0
2.577769450E-1,-9.332008660E-2,-3.349951655E-2,9.875179291E0,9.875677034E0
2.601632470E-1,-8.135596663E-2,-4.307080805E-2,9.877572060E0,9.878000996E0
2.625494970E-1,-7.896314561E-2,-4.067798331E-2,9.870393753E0,9.870793419E0
2.649357470E-1,-6.699903309E-2,-3.828516230E-2,9.875179291E0,9.875480781E0
2.673219970E-1,-9.092725813E-2,-3.349951655E-2,9.879964828E0,9.880440020E0
2.697082990E-1,-9.332008660E-2,-5.264209956E-2,9.875179291E0,9.875760520E0
2.720945490E-1,-1.004985496E-1,-3.828516230E-2,9.875179291E0,9.875764868E0
2.744807990E-1,-1.028913707E-1,-3.349951655E-2,9.863214493E0,9.863808037E0
2.768671020E-1,-1.004985496E-1,-4.546362907E-2,9.863214493E0,9.863831255E0
2.792533520E-1,-8.614161611E-2,-4.307080805E-2,9.877572060E0,9.878041570E0
2.816396020E-1,-9.810572863E-2,-3.828516230E-2,9.879964828E0,9.880526074E0
2.840259040E-1,-8.853443712E-2,-2.871387079E-2,9.868000984E0,9.868439910E0
2.864121540E-1,-8.374879509E-2,-2.871387079E-2,9.860821724E0,9.861219165E0
2.887984040E-1,-8.374879509E-2,-4.785645381E-2,9.865608215E0,9.866079746E0
2.911847060E-1,-8.853443712E-2,-5.024927482E-2,9.870393753E0,9.870918710E0
2.935709560E-1,-9.810572863E-2,-4.785645381E-2,9.860821724E0,9.861425863E0
2.959572060E-1,-9.092725813E-2,-5.503492057E-2,9.856036186E0,9.856609250E0
2.983434560E-1,-9.810572863E-2,-5.503492057E-2,9.856036186E0,9.856678085E0
3.007297580E-1,-8.374879509E-2,-4.546362907E-2,9.860821724E0,9.861282162E0
3.031160080E-1,-7.896314561E-2,-5.264209956E-2,9.844072342E0,9.844529783E0
3.055022580E-1,-9.332008660E-2,-4.067798331E-2,9.870393753E0,9.870918710E0
