"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.143605100E-2,-1.148554832E-1,-1.316052526E-1,1.011206818E1,1.011357674E1
1.381948800E-2,-1.124626622E-1,-1.244267747E-1,1.017188931E1,1.017327194E1
1.620526900E-2,-8.853443712E-2,-1.220339537E-1,1.015992451E1,1.016104309E1
1.859105100E-2,-8.853443712E-2,-1.220339537E-1,1.013121128E1,1.013233303E1
2.097683200E-2,-9.092725813E-2,-9.810572863E-2,1.003789139E1,1.003878260E1
2.336261300E-2,-1.076770201E-1,-8.853443712E-2,9.942177773E0,9.943155010E0
2.574839400E-2,-1.196411327E-1,-8.135596663E-2,9.851250648E0,9.852313035E0
2.813417600E-2,-8.614161611E-2,-9.571290761E-2,9.803394318E0,9.804239975E0
3.051995700E-2,-8.135596663E-2,-9.571290761E-2,9.779465675E0,9.780272422E0
3.290573800E-2,-5.742774159E-2,-8.374879509E-2,9.798608780E0,9.799134953E0
3.529151900E-2,-8.135596663E-2,-8.374879509E-2,9.844072342E0,9.844764747E0
3.767730100E-2,-9.810572863E-2,-1.124626622E-1,9.896714211E0,9.897839398E0
4.006308200E-2,-6.939185411E-2,-1.244267747E-1,9.956535339E0,9.957554580E0
4.244886300E-2,-8.135596663E-2,-1.148554832E-1,9.990034103E0,9.991025571E0
4.483464400E-2,-9.571290761E-2,-1.220339537E-1,9.992427826E0,9.993631327E0
4.722042600E-2,-9.810572863E-2,-1.411765367E-1,1.002353382E1,1.002500802E1
4.960620700E-2,-9.571290761E-2,-1.339980662E-1,1.003789139E1,1.003924200E1
5.199198800E-2,-6.699903309E-2,-1.411765367E-1,1.004746246E1,1.004867761E1
5.437776900E-2,-7.417750359E-2,-1.483550072E-1,1.003310490E1,1.003447584E1
5.676355100E-2,-8.614161611E-2,-1.435693651E-1,9.999606133E0,1.000100772E1
5.914933200E-2,-6.460621208E-2,-1.387837082E-1,9.970891953E0,9.972067048E0
6.153511300E-2,-7.178468257E-2,-1.435693651E-1,9.920642853E0,9.921941333E0
6.392089400E-2,-6.939185411E-2,-1.698904037E-1,9.872786522E0,9.874491971E0
6.630667600E-2,-7.657032460E-2,-1.579262912E-1,9.834501266E0,9.836067247E0
6.869245700E-2,-6.699903309E-2,-1.411765367E-1,9.853643417E0,9.854882459E0
7.107823800E-2,-6.460621208E-2,-1.603191197E-1,9.887143135E0,9.888653880E0
7.346401900E-2,-5.982056633E-2,-1.722832322E-1,9.937392235E0,9.939065572E0
7.584980100E-2,-8.135596663E-2,-1.627119333E-1,1.000439167E1,1.000604551E1
